nconst,primaryName,birthYear
nm0594647,Kenji Mizuhashi,1975
nm0594650,Koji Mizukami,
nm0594652,Reiko Minakami,
nm0594653,Ryûshi Mizukami,1964
nm0594655,Asami Mizukawa,1983
nm0594660,Kyôichi Mizuki,1926
nm0594666,Yôko Mizuki,1910
nm0594667,Sumiko Mizukubo,1916
nm0594682,Kumi Mizuno,1937
nm0594684,Miki Mizuno,1974
nm0594693,Takiko Mizunoe,1915
nm0594695,Nobumasa Mizuno'o,
nm0594697,Yoshimasa Mizuo,
nm0594702,Michitarō Mizushima,1912
nm0594705,Kaori Mizushima,1964
nm0594708,Minako Mizushima,
nm0594712,Yû Mizushima,1956
nm0594713,Yûko Mizushima,1962
nm0594714,Keiko Mizuta,
nm0594716,Bunjirō Mizutani,1896
nm0594717,Hiroshi Mizutani,1906
nm0594720,Kei Mizutani,1974
nm0594726,Toshiyuki Mizutani,1955
nm0594729,Yutaka Mizutani,1952
nm0594730,Yûko Mizutani,1964
nm0594738,Alessandro Mizzi,
nm0594746,Anne-Marie Miéville,1945
nm0594758,Eka Mzhavanadze,
nm0594783,L. Mkhitaryants,
nm0594793,Albert Mkrtchyan,1937
nm0594796,Frunzik Mkrtchyan,1930
nm0594819,Valentina Mladenova,1952
nm0594856,Mathias Mlekuz,1966
nm0594863,Artur Mlodnicki,1911
nm0594864,Arlene Mlodzik,
nm0594865,Ronald Mlodzik,
nm0594868,Abdelaziz Ben Mlouka,
nm0594878,Valeri Mnatsakanov,1946
nm0594885,Geneviève Mnich,1942
nm0594891,Alexandre Mnouchkine,1908
nm0594892,Ariane Mnouchkine,1939
nm0594893,Joelle Mnouchkine,
nm0594898,Mo'Nique,1967
nm0594909,Teresa Mo,1960
nm0594910,Morning Tzu-Yi Mo,1981
nm0594911,Yan Mo,
nm0594933,Bjørn Moan,1975
nm0594934,Henny Moan,1936
nm0594944,Renata Moar,
nm0594956,Félix Moati,1990
nm0594959,Serge Moati,1946
nm0594998,Rune Moberg,1912
nm0595002,Vilhelm Moberg,1898
nm0595039,Mary Ann Mobley,1937
nm0595055,Adriana Mocca,
nm0595057,Rosella Mocci,
nm0595062,Federico Moccia,1963
nm0595063,Giuseppe Moccia,1933
nm0595098,Tamekichi Mochizuki,
nm0595099,Tamezô Mochizuki,
nm0595105,Yûko Mochizuki,1917
nm0595173,Jacek Mocny,
nm0595193,Anand Modak,1951
nm0595194,Shahu Modak,1918
nm0595271,Sohrab Modi,1897
nm0595272,Patrick Modiano,1945
nm0595273,René Modiano,
nm0595278,Antonio Modica,
nm0595288,Francesca Modigliani,
nm0595290,Sveva Casati Modignani,1938
nm0595295,Diego Modino,
nm0595297,Jolanda Modio,1946
nm0595299,Bloke Modisane,1923
nm0595304,Tod Modisett,1972
nm0595317,Michel Modo,1937
nm0595321,Gaston Modot,1887
nm0595323,Nar Modou,
nm0595338,Urszula Modrzynska,1928
nm0595340,Domenico Modugno,1928
nm0595342,Lucia Modugno,1932
nm0595343,Ludovica Modugno,1949
nm0595361,Thor Modéen,1898
nm0595411,Fritz Moegle,1916
nm0595436,Felix Moeller,1965
nm0595450,Martin Moeller,
nm0595456,Grace Moema,1921
nm0595459,Arne Moen,
nm0595473,Merete Moen,1945
nm0595547,Lauren Vilchik,1968
nm0595611,Peter Moffatt,
nm0595631,D.W. Moffett,1954
nm0595635,Gregory Moffett,1943
nm0595654,Jack Moffitt,1901
nm0595669,Lindsay Mofford,
nm0595687,Aribert Mog,1904
nm0595693,Hiromichi Mogaki,
nm0595708,Mats Mogeland,
nm0595718,Grethe Mogensen,1937
nm0595752,Flavio Mogherini,1922
nm0595757,Marina Mogilevskaya,1970
nm0595796,Marcelo Moguilevsky,
nm0595816,Maryam Mohamadamini,
nm0595817,Azizeh Mohamadi,
nm0595865,Esmail Mohammadi,
nm0595866,Manouchehr Mohammadi,
nm0595869,Aida Mohammadkhani,
nm0595878,Ferdoos Mohammed,1906
nm0595879,Ghulam Mohammed,1903
nm0595886,Master Mohammed,
nm0595897,Mohan,1956
nm0595900,Mohan,
nm0595902,Jit Mohan Mitra,
nm0595909,Mac Mohan,1938
nm0595914,Poornima Indrajith,1980
nm0595916,Rammohan Sharma,1929
nm0595917,Ram Mohan,
nm0595918,Ram Mohan,
nm0595920,Reena Mohan,
nm0595929,Mohana Cabral,1929
nm0595932,K.R. Mohanan,1947
nm0595933,K.U. Mohanan,
nm0595934,Mohan Babu,1952
nm0595936,Geethu Mohandas,1981
nm0595945,Purna Mohanty,
nm0595947,Ramesh Mohanty,
nm0595948,Uttam Mohanty,1958
nm0595954,Hideo Shigehara,
nm0595994,S. Mohinder,1925
nm0595996,Mohini,
nm0596002,Ghulam Mohiuddin,
nm0596008,Madan Mohla,
nm0596031,Anton Moho,
nm0596056,Gerald Mohr,1914
nm0596071,Rafal Mohr,1975
nm0596093,Ursula Möhrle,
nm0596101,Ahmad Reza Moayed Mohseni,
nm0596109,Zia Mohyeddin,1931
nm0596112,Brigitte Moidon,
nm0596113,Frédérique Moidon,
nm0596130,Moin-ud-din,
nm0596140,Patrick Moine,
nm0596170,Richard Moir,1950
nm0596204,Nuala Moiselle,1928
nm0596208,Vladimir Moiseenko,1963
nm0596209,Boris Moiseev,1954
nm0596212,Maurice Moiseiwitsch,1914
nm0596218,Alexander Moissi,1879
nm0596234,Jacques Moiteaux,
nm0596237,Amit Mitra,
nm0596238,Indranil Moitra,
nm0596239,Jyotirindra Moitra,1911
nm0596240,Shantanu Moitra,
nm0596253,Tom Mojack,
nm0596257,Kazem Mojdehi,
nm0596261,José Mojica Marins,1936
nm0596285,Boris Mojsovski,
nm0596297,Karen Mok,1970
nm0596299,Kwan Kit Mok,
nm0596304,Michel Mok,
nm0596306,Patricia Mok,1971
nm0596347,Nadir Moknèche,1965
nm0596360,Amir Mokri,
nm0596364,Sergey Mokritskiy,
nm0596365,Peter Mokrosinski,1953
nm0596375,Oleg Mokshantsev,1924
nm0596384,Mayuri Mokushô,1929
nm0596403,Andrea Molaioli,1967
nm0596407,Hans Petter Moland,1955
nm0596408,Nicolai Moland,
nm0596410,Gustaf Molander,1888
nm0596411,Harald Molander,1909
nm0596415,Jan Molander,1920
nm0596461,Seydulla Moldakhanov,1958
nm0596477,Izabela Moldovan,
nm0596554,Víctor Molero,
nm0596571,Rafael Moleón,1954
nm0596572,Henning Molfenter,
nm0596588,Nathalie Moliavko-Visotzky,
nm0596597,Birgitta Molin,1938
nm0596615,Sigbrit Molin,1923
nm0596663,Carmen Molina,1920
nm0596668,Christian Molina,
nm0596670,Claudia Molina,1985
nm0596701,Paul Naschy,1934
nm0596703,Javier Molina,
nm0596710,Jorge Molina,1966
nm0596716,Juan Molina Temboury,1954
nm0596717,Juan Carlos Molina,
nm0596750,Miguel Molina,1963
nm0596757,Mónica Molina,1968
nm0596762,Olivia Molina,1980
nm0596763,Paloma Molina,
nm0596765,Paula Molina,1958
nm0596770,Pep Molina,
nm0596803,Mariano Vidal Molina,1925
nm0596807,Ángela Molina,1955
nm0596812,Agnès Molinard,
nm0596818,Alberto Molinari,1965
nm0596850,Édouard Molinaro,1928
nm0596860,Joris Molinas,
nm0596939,Ingeborg Molitoris,
nm0596942,Molière,1622
nm0596943,Fabienae Molière,
nm0596959,Richard Moll,1943
nm0596962,Dominik Moll,1962
nm0596968,Giorgia Moll,1938
nm0597026,Jesper Møller,
nm0597042,Clotilde Mollet,
nm0597049,Mario Molli,
nm0597095,Jacques Mollon,
nm0597125,Mike Molloy,1940
nm0597167,Stanko Molnar,1947
nm0597175,Ferenc Molnár,1878
nm0597188,Piroska Molnár,1945
nm0597192,Tibor Molnár,1921
nm0597215,Alan Moloney,
nm0597258,Graham Moloy,
nm0597265,Ambrogio Molteni,
nm0597267,Giorgio Molteni,
nm0597268,Luis Molteni,1950
nm0597271,Sonia Molteni,
nm0597298,Nils Petter Molvær,1960
nm0597301,Grynet Molvig,1942
nm0597327,Jean-Michel Molé,
nm0597376,Oliver Mommsen,1969
nm0597381,Alessandro Momo,1956
nm0597385,Luis Alberto de Mozos,
nm0597389,Hideo Momoda,
nm0597390,Kaori Momoi,1952
nm0597404,Lilia Mompié,
nm0597407,José María Mompín,1920
nm0597440,Clarisse Monaco,
nm0597492,Laurence de Monaghan,1954
nm0597522,Debi A. Monahan,1959
nm0597558,Vladimir Monakhov,1922
nm0597561,Andrea Montchal,
nm0597604,Santiago Moncada,1928
nm0597622,Gérard Monceau,
nm0597651,Stella Monclar,
nm0597652,Enrique Moncloa,
nm0597662,Pierre Moncorbier,1907
nm0597675,Carlos Monctezuma,
nm0597681,Lisa Moncure,
nm0597719,Fael Mondego,1980
nm0597727,Rino Mondellini,1908
nm0597732,Luigi Mondello,
nm0597734,Romina Mondello,1974
nm0597796,Jorge Mondragón,1903
nm0597812,Andrew Mondshein,1962
nm0597816,Pierre Mondy,1925
nm0597840,Silvia Monelli,1932
nm0597857,Paul Mones,1955
nm0597860,Tom Mones,
nm0597866,Marion Monestier,
nm0597886,Monica Monet,
nm0597902,Tullio Moneta,1937
nm0597913,Gilbert Monette,
nm0597918,Mario Monette,
nm0597921,Olivier Monette,
nm0597942,Zoot Money,1942
nm0597963,Dominique Monfery,
nm0597985,Silvia Monfort,1923
nm0597995,William V. Mong,1875
nm0598007,Jacques Monge,
nm0598021,Julie Mongeau,
nm0598042,Leslie Mongezi,
nm0598044,Lorenzo Mongiardino,1916
nm0598056,Pawarith Monkolpisit,
nm0598080,Marion Monheim,
nm0598102,Mario Monicelli,1915
nm0598114,Colin Monie,
nm0598147,Adel Mounir,
nm0598173,Jayme Monjardim,1956
nm0598184,José María Monje,1967
nm0598213,Debra Monk,
nm0598214,Egon Monk,1927
nm0598267,John Monks Jr.,1910
nm0598308,Hubert Monloup,
nm0598313,Ursela Monn,1950
nm0598321,Alain Monne,
nm0598335,Gabriel Monnet,1921
nm0598336,Jacques Monnet,1934
nm0598350,Carlo Monni,1943
nm0598358,Jackie Monnier,1903
nm0598363,Philippe Monnier,1937
nm0598367,Valentine Monnier,1956
nm0598368,Violette Monnier,
nm0598381,Jean-Maurice Monnoyer,
nm0598388,Jacques Monod,1918
nm0598394,Roland Monod,1929
nm0598400,Thomas N. Morahan,1906
nm0598406,Lili Monori,1945
nm0598414,Leo Monosson,1897
nm0598415,Catherine Monot,
nm0598443,Cinzia Monreale,1957
nm0598461,Betty Monroe,1978
nm0598475,Carolyn Monroe,1968
nm0598531,Mark Monroe,
nm0598553,Phil Monroe,1916
nm0598569,Steve Monroe,1972
nm0598572,Thomas Monroe,1902
nm0598609,Chloé Mons,
nm0598628,Jacques Monseau,
nm0598650,Franck Monsigny,
nm0598652,Jean Monsigny,1936
nm0598656,Maxime Monsimier,
nm0598668,Lex Monson,1926
nm0598706,Lars Montag,1971
nm0598717,Luisa Montagnana,1929
nm0598718,Giorgio Montagnani,
nm0598719,Nerina Montagnani,1897
nm0598720,Renzo Montagnani,1930
nm0598728,Sylvain Montagne,
nm0598735,Felice Montagnini,1902
nm0598748,Felicity Montagu,1960
nm0598757,Bruce Montague,1939
nm0598777,Lee Montague,1927
nm0598807,Lawrence Montaigne,1931
nm0598823,Carlos Montalbán,1903
nm0598840,Renato Montalbano,1931
nm0598855,Giuliano Montaldo,1930
nm0598857,Thibault de Montalembert,1962
nm0598878,Laura Montalvo,
nm0598890,Irene Montalà,1976
nm0598934,Mike Montana,
nm0598944,Arrigo Montanari,
nm0598949,Luca Montanari,1965
nm0598950,Mario Montanari,
nm0598951,Piero Montanari,1946
nm0598966,Lucio Montanaro,1951
nm0598971,Yves Montand,1921
nm0598975,Indro Montanelli,1909
nm0598981,Rita Montaner,1900
nm0599017,Robert Montano,
nm0599020,Georges Montant,1922
nm0599032,Marcello Montarsi,1963
nm0599038,Max Montavon,1926
nm0599044,Pierre Montazel,1911
nm0599074,Irene Montcada,
nm0599125,Noé Montealegre,
nm0599138,Simone Montedoro,1973
nm0599139,Enzo Monteduro,1937
nm0599145,Corrado Monteforte,
nm0599163,Nadine Pascal,
nm0599173,Max Monteillet,
nm0599188,Caco Monteiro,
nm0599203,Flávia Monteiro,1972
nm0599214,João César Monteiro,1939
nm0599253,Wilson Monteiro,
nm0599269,Carmen Montejo,1925
nm0599284,Michèle Montel,
nm0599298,Sandra Monteleoni,
nm0599306,Lisa Montell,1933
nm0599320,Julio Montelongo,
nm0599342,Franco Montemurro,1920
nm0599359,Hugo Montenegro,1925
nm0599378,Sasha Montenegro,1946
nm0599383,Paola Montenero,1951
nm0599389,José Luis Monter,1925
nm0599413,Carlos Montero,
nm0599430,Germaine Montero,1909
nm0599434,Ivonne Montero,1974
nm0599459,Mario Montero,
nm0599462,Mattias Montero,
nm0599474,Rebeca Montero,1967
nm0599532,Conchita Montes,1914
nm0599539,Elisa Montés,1934
nm0599549,Fernando Montes,
nm0599573,Michael Montes,
nm0599579,Olga Montes,
nm0599580,Osvaldo Montes,
nm0599600,Tongolele,1932
nm0599603,Raquel Monteza,1955
nm0599604,Enrico Montesano,1945
nm0599640,Guillermo Montesinos,1948
nm0599656,Liliane Montevecchi,1932
nm0599658,Roselle Y. Monteverde,
nm0599668,Germana Monteverdi,1932
nm0599681,Felix Montez,
nm0599688,Maria Montez,1912
nm0599690,María Montez,1951
nm0599692,Nancy Montez,
nm0599698,Muriel Montossé,1955
nm0599700,Magdalena Montezuma,1943
nm0599705,Georges Montforez,
nm0599707,Michel Montfort,
nm0599709,Martine Montgermont,
nm0599787,George Montgomery,1916
nm0599800,James Montgomery,1878
nm0599804,Jeff Montgomery,
nm0599910,Robert Montgomery,1904
nm0599958,Maryline Monthieux,
nm0599963,Federico Monti Arduini,1940
nm0599980,Elvio Monti,1934
nm0599983,Félix Monti,1938
nm0599987,Ivana Monti,1947
nm0599998,Maria Monti,1935
nm0599999,Maria Amelia Monti,1961
nm0600005,Maura Monti,1942
nm0600007,Mike Monty,1936
nm0600014,Pat Monti,
nm0600018,Silvia Monti,1946
nm0600023,Albert Montias,
nm0600039,Gustavo Montiel Pagés,1954
nm0600044,Cecilia Montiel,1955
nm0600060,Sara Montiel,1928
nm0600090,Mario Montilles,1919
nm0600099,Brizio Montinaro,1943
nm0600120,Ovidi Montllor,1942
nm0600122,Yves Montmarquette,
nm0600143,Vincent Monton,1949
nm0600155,Alfredo Montori,1893
nm0600156,Sergio Montori,
nm0600157,Daniel Montorio,1904
nm0600160,Antonio Montoro,
nm0600161,David Montoro,
nm0600162,Edward L. Montoro,1936
nm0600169,Stefania Montorsi,
nm0600179,Laure Moutoussamy,
nm0600180,Edouard Montoute,1970
nm0600190,Alicia Montoya,1918
nm0600214,Felipe Montoya,1900
nm0600257,Álex Montoya,1973
nm0600261,Luc Montpellier,
nm0600270,Pascale Montpetit,1961
nm0600341,Carlo Montuori,1885
nm0600344,Mario Montuori,1920
nm0600398,Quim Monzó,1952
nm0600409,Daniel Monzón,1968
nm0600411,Manuel Monzón,
nm0600421,J. David Brimmer,1957
nm0600428,Pascale Vital,
nm0600531,Ron Moody,1924
nm0600546,Lukas Moodysson,1969
nm0600552,Heinz Moog,1908
nm0600570,Narayana Swamy Moola,
nm0600604,Eric Moon,1979
nm0600621,Jesse Moon,
nm0600626,Joon-ho Moon,
nm0600628,Jeong-suk Moon,
nm0600668,Moon So-ri,1974
nm0600672,Sung-heon Moon,
nm0600673,Moon Sung-keun,1953
nm0600691,Willy M. Moon,
nm0600692,Moon Young-dong,
nm0600697,Moondog,1916
nm0600746,Laura Mooney-Hubbert,1976
nm0600788,Kathy Mooney,
nm0600793,Govind Moonis,
nm0600837,George Mooradian,
nm0600867,Adrian Moore,1996
nm0600907,Anthony Moore,1948
nm0600943,Bill Moore,
nm0601040,Christina Moore,
nm0601041,Christina Moore,
nm0601067,Colleen Moore,1899
nm0601073,Constance Moore,1921
nm0601077,Michael D. Moore,1914
nm0601104,Deborah Moore,
nm0601105,Deborah Moore,1963
nm0601111,Del Moore,1916
nm0601192,Eulabelle Moore,1909
nm0601210,Frank Moore,1946
nm0601223,Gail Moore,
nm0601224,Gar Moore,1920
nm0601240,George Moore,
nm0601241,Luciana Ottaviani,1967
nm0601254,Grace Moore,1898
nm0601287,Ida Moore,1882
nm0601369,Joanna Moore,1934
nm0601376,Joel David Moore,1977
nm0601377,Fabio Testi,1941
nm0601440,Katherine Moore,
nm0601516,Lisle Moore,
nm0601553,Mandy Moore,1984
nm0601610,Melba Moore,1945
nm0601680,Nick Moore,
nm0601701,Paige Moore,
nm0601730,Paula Moore,
nm0601733,Pauline Moore,1914
nm0601814,Robyn Moore,1950
nm0601924,Ted Moore,1914
nm0601930,Terry Moore,1929
nm0602005,Victor Moore,1876
nm0602040,Zelma Bramley Moore,1890
nm0602104,Jocelyn Moorhouse,1960
nm0602107,Ali Reza Shoja'noori,
nm0602129,Louis Moorpark,
nm0602136,Barbara Moorse,
nm0602137,George Moorse,1936
nm0602138,Ian Moorse,1959
nm0602146,Ram Murthy,
nm0602149,Adam Moos,
nm0602164,Christoph Moosbrugger,1951
nm0602167,Barbara Moose,
nm0602178,Josef Moosholzer,1932
nm0602181,Daniel Moosmann,1936
nm0602206,Maryam Moghadam,1970
nm0602209,Stéphane Moquet,
nm0602212,Avraham Mor,1935
nm0602225,Tikva Mor,1942
nm0602239,Fernando Mora Ramos,1955
nm0602240,José Mora Ramos,1948
nm0602242,Don Jaime de Mora y Aragón,1925
nm0602260,Camila Mora-Scheihing,1971
nm0602264,César Mora,
nm0602326,Norma Mora,1943
nm0602333,Philippe Mora,1949
nm0602372,Giuseppe Morabito,
nm0602385,Habibollah Morad,
nm0602390,Ebrahim Moradi,
nm0602392,Safar Ali Moradi,
nm0602405,Cezar Moraes,
nm0602412,Drica Moraes,1969
nm0602413,Ernani Moraes,1957
nm0602422,Mallú Moraes,
nm0602436,Tuca Moraes,
nm0602452,Andrew Morahan,1958
nm0602453,Ben Morahan,
nm0602493,Sônia Morais,
nm0602508,Ignacio del Moral,1957
nm0602567,Benjamín Morales,1926
nm0602616,Guillem Morales,1975
nm0602651,José Morales,
nm0602660,José María Morales,
nm0602670,Julio Morales,
nm0602699,Mario Morales,1931
nm0602708,Michel Morales,
nm0602709,Miguel Morales,
nm0602722,Nené Morales,1944
nm0602789,Álvaro Morales,1968
nm0602792,Jacques Morali,1947
nm0602803,Jackie Moran,1923
nm0602821,Dan Moran,
nm0602839,Eddie Moran,1899
nm0602841,Edgar Morin,1921
nm0602846,Francine Morand,1948
nm0602872,Jane Moran,
nm0602905,Lee Moran,1888
nm0602931,Mike Moran,1948
nm0602946,Pat Moran,
nm0602955,Peggy Moran,1918
nm0602959,Polly Moran,1883
nm0602994,Eleonora Morana,1922
nm0603024,Fernando Morandi,
nm0603027,Gianni Morandi,1944
nm0603037,Morando Morandini Jr.,
nm0603041,Morando Morandini,1924
nm0603090,Laura Morante,1956
nm0603094,Massimo Morante,1952
nm0603118,Velvet Moraru,
nm0603133,Alain Morat,1951
nm0603140,Rosa Morata,
nm0603152,Eduardo Moratilla,
nm0603158,Bedy Moratti,1942
nm0603169,Boris Moravec,1930
nm0603174,Oxana Moravec,1967
nm0603177,Tomás Moravec,
nm0603179,Alberto Moravia,1907
nm0603217,Miguel Morayta,1907
nm0603218,Paco Morayta,1946
nm0603232,Guido Morbello,
nm0603234,Per Morberg,1960
nm0603248,Carsten Mørch,1947
nm0603279,Nietta Mordeglia,1894
nm0603286,Tony Mordente,1935
nm0603294,Gérard Mordillat,1949
nm0603296,Gino Mordini,
nm0603299,Stefano Mordini,1968
nm0603336,Kenneth More,1914
nm0603352,Dino Morea,1975
nm0603377,David François Moreau,1972
nm0603394,Jacques Moreau,
nm0603398,Jean-Jacques Moreau,1947
nm0603399,Jean-Luc Moreau,
nm0603402,Jeanne Moreau,1928
nm0603440,Sylvie Moreau,1964
nm0603443,Valérie Moreau,
nm0603446,Yolande Moreau,1953
nm0603447,Émile Moreau,1877
nm0603466,Dror Moreh,
nm0603502,Ana Moreira,
nm0603511,Cida Moreira,1951
nm0603513,Edgardo Moreira,
nm0603543,Roberto Moreira,
nm0603586,François Morel,1959
nm0603588,Gaël Morel,1972
nm0603600,Jacques Morel,1922
nm0603616,Max Morel,
nm0603628,Pierre Morel,1964
nm0603636,Sandrine Morel,
nm0603646,Mantan Moreland,1902
nm0603679,Jaques Morelenbaum,1954
nm0603682,André Morell,1909
nm0603704,Mihály Morell,1911
nm0603726,Annamaria Morelli,
nm0603737,Giampaolo Morelli,1974
nm0603756,Pascal Morelli,1961
nm0603758,Paulo Morelli,
nm0603761,Rina Morelli,1908
nm0603784,Lisette Morelos,1978
nm0603790,Hector Morely,
nm0603807,Juana de la Morena,
nm0603815,Rosa Morena,1941
nm0603820,André Morency,
nm0603830,Gabriel Moreno Burgos,
nm0603865,Alma Moreno,1959
nm0603867,Alfonso H. Moreno,
nm0603868,Amparo Moreno,1949
nm0603875,Antonio Moreno,1887
nm0603884,Ascensión Moreno,
nm0603890,Belita Moreno,1949
nm0603916,Darío Moreno,1921
nm0603919,David Moreno Mingote,
nm0603999,Jaime Moreno,1947
nm0604005,Genaro Moreno,
nm0604021,Jorge Moreno,
nm0604032,José Elías Moreno,1910
nm0604033,José Elías Moreno,1956
nm0604037,José Luis Moreno,1947
nm0604103,Marlon Moreno,1966
nm0604109,María José Moreno,
nm0604169,Rodrigo Moreno,1972
nm0604188,Steven Moreno,
nm0604216,Yvon Moreno,
nm0604248,Roger Mores,
nm0604257,Fabrizio Moresco,1948
nm0604263,Bobby Moresco,1951
nm0604277,Pablo Moret,1933
nm0604294,Gina Morett,1949
nm0604323,Linda Moretti,1921
nm0604331,Michèle Moretti,1940
nm0604335,Nanni Moretti,1953
nm0604341,Raoul Moretti,1893
nm0604349,Tobias Moretti,1959
nm0604350,Ugo Moretti,1917
nm0604356,Ana Maria Moretzsohn,1947
nm0604357,Carmem Moretzsohn,1960
nm0604369,Avrom Morewski,1886
nm0604384,Harry T. Morey,1873
nm0604409,Manny Morfe,
nm0604430,Diogo Morgado,1981
nm0604453,Ainsworth Morgan,1899
nm0604462,Alexandra Morgan,
nm0604507,Bonnie Morgan,1981
nm0604526,Byron Morgan,1889
nm0604533,Carl Morgan,
nm0604553,Chesty Morgan,1937
nm0604555,Chris Morgan,
nm0604605,Dennis Morgan,1908
nm0604610,Diana Morgan,1908
nm0604656,Frank Morgan,1890
nm0604669,Garfield Morgan,1931
nm0604670,Gary Morgan,1950
nm0604702,Harry Morgan,1915
nm0604705,Heather Morgan,
nm0604709,Helen Morgan,1900
nm0604784,Joseph Morgan,
nm0604940,Paul Morgan,1886
nm0604960,Ralph Morgan,1883
nm0605059,Terence Morgan,1921
nm0605088,Wendy Morgan,
nm0605093,William Morgan,1899
nm0605155,Janusz Morgenstern,1922
nm0605174,Stephanie Morgenstern,1965
nm0605182,Noam Morgensztern,1980
nm0605195,Piero Morgia,
nm0605201,Evgeniy Morgunov,1927
nm0605204,Joe Morheim,1925
nm0605209,Françoise Morhange,1915
nm0605214,Fredrik Morheden,1967
nm0605215,Lou Morheim,1922
nm0605224,Bárbara Mori,1978
nm0605245,Kazuo Mori,1911
nm0605247,Javier R. Mori,
nm0605252,Katsuji Mori,1945
nm0605263,Kurôdo Môri,
nm0605268,Masaru Mori,1921
nm0605270,Masayuki Mori,1911
nm0605271,Masayuki Mori,1965
nm0605281,Mitsuko Mori,1923
nm0605284,Norihisa Mori,1972
nm0605286,Ogai Mori,1862
nm0605303,Takemoto Mori,
nm0605307,Tatsuya Mori,1956
nm0605324,Alberto Moriani,
nm0605384,Annik Morice,1933
nm0605388,Tara Morice,1964
nm0605410,Valeria Moriconi,1931
nm0605429,Philippe Morier-Genoud,1944
nm0605432,Francesca Moriggi,1938
nm0605438,Akira Morii,
nm0605439,Kôko Mori,1929
nm0605451,Toshiyuki Morikawa,1967
nm0605453,Shôtarô Morikubo,1974
nm0605456,Roger Morillière,
nm0605479,Kôji Morimoto,1959
nm0605480,Leo Morimoto,1943
nm0605489,Seiichi Morimura,1933
nm0605513,Cyril Morin,1962
nm0605515,Daniel Morin,
nm0605555,Loula Morin,
nm0605583,Robert Morin,1949
nm0605602,Kenji Morinaga,
nm0605604,Naomi Morinaga,1964
nm0605629,Nobuhiko Morino,
nm0605638,Ken'ichirō Morioka,
nm0605641,Toshiyuki Morioka,
nm0605642,Saverio Moriones,1943
nm0605646,Buckley Norris,
nm0605661,Akira Morishige,
nm0605662,Hisaya Morishige,1913
nm0605663,Aki Morishima,
nm0605667,Tsuneyuki Morishima,
nm0605672,Kôzô Morishita,
nm0605676,Yoshiyuki Morishita,1962
nm0605685,Patricia Morison,1915
nm0605706,Rui Morisson,1948
nm0605709,Fujio Morita,1927
nm0605710,Manabu Morita,
nm0605712,Hideo Murota,1937
nm0605714,Junpei Morita,1954
nm0605717,Kensaku Morita,1949
nm0605719,Kyōhei Morita,
nm0605725,Mitsunori Morita,
nm0605733,Seiji Morita,
nm0605741,Yoshimitsu Morita,1950
nm0605750,Kōji Moritsugu,1943
nm0605758,David Moritz,
nm0605762,Dorothea Moritz,1932
nm0605775,Neal H. Moritz,1959
nm0605786,Henning Moritzen,1928
nm0605791,Aníbal Morixe,
nm0605795,Ryôko Moriyama,1948
nm0605797,Shûichirô Moriyama,1934
nm0605798,Tomoyuki Moriyama,
nm0605799,Yûji Moriyama,1960
nm0605801,Michio Morioka,1931
nm0605813,Félix Morlión,1904
nm0605832,Lucilla Morlacchi,1936
nm0605851,Gaby Morlay,1893
nm0605870,Christopher Morley,1890
nm0605878,Donald Morley,1923
nm0605885,George Morley,
nm0605904,Karen Morley,1909
nm0605923,Robert Morley,1908
nm0605930,Sheridan Morley,1941
nm0605989,Alicia Moro,
nm0606018,François Moro-Giafferi,
nm0606062,Niall Moroney,
nm0606074,David Moroni,
nm0606075,Fabrizio Moroni,1943
nm0606076,Mario Moroni,
nm0606085,Moro Morooka,1959
nm0606096,Luciana Morosetti,
nm0606102,Ugo Maria Morosi,1941
nm0606111,Satoshi Morota,
nm0606120,Rafael Moroyoqui,
nm0606124,Darya Moroz,1983
nm0606130,Yuriy Moroz,1956
nm0606146,Igor Morozov,1913
nm0606153,Pyotr Morozov,
nm0606168,Keijirô Morozumi,
nm0606189,Lisa Morpurgo,
nm0606204,Gigio Morra,1945
nm0606206,Irene Morra,1893
nm0606211,Mario Morra,1935
nm0606229,Diego Morreale,1948
nm0606261,Joshua Morrell,1974
nm0606294,Kirk M. Morri,
nm0606298,Giovanni Morricone,
nm0606300,Vito Moricone,
nm0606309,Jonathan Morrill,1961
nm0606328,Morris,1923
nm0606360,Anita Morris,1943
nm0606367,Artro Morris,1926
nm0606422,Cassandra Lee Morris,
nm0606431,Chester Morris,1901
nm0606493,Desmond Morris,1928
nm0606494,Dewi Morris,1948
nm0606501,Donald R. Morris,1924
nm0606502,Dorothy Morris,1922
nm0606550,George Morris,1975
nm0606597,Iain Morris,1973
nm0606623,Jane Morris,1953
nm0606657,John Morris,1926
nm0606663,Johnnie Morris,1887
nm0606682,Jonathan Morris,1949
nm0606683,Jonathon Morris,1960
nm0606718,Lana Morris,1930
nm0606738,Lily Morris,1882
nm0606741,Lisa-Anne Morris,
nm0606755,Maggie Morris,1925
nm0606783,Mary Morris,1915
nm0606813,Michelle Morris,
nm0606817,Horst Weinert,
nm0606835,Nick Morris,
nm0606886,Richard Morris,1924
nm0607009,Willie Morris,1934
nm0607063,Allan Morrison,1930
nm0607147,Glen Morrison,
nm0607152,Gloria Jean Morrison,
nm0607185,Jennifer Morrison,
nm0607194,John Morrison,
nm0607325,Temuera Morrison,1960
nm0607341,Van Morrison,1945
nm0607357,Ann Morriss,1919
nm0607367,Luc Morissette,1942
nm0607407,Paul Morrissey,1938
nm0607444,Antonello Morroni,
